# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,Accuracy_X/Y/Z_(m),Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
DSC00001.JPG,,,,,,,,,0.078454,-0.568143,1.808155
DSC00002.JPG,,,,,,,,,0.077952,-0.567507,1.808403
DSC00003.JPG,,,,,,,,,0.077966,-0.567994,1.808353
DSC00004.JPG,,,,,,,,,0.078106,-0.567587,1.808275
DSC09951.JPG,,,,,,,,,0.028532,-0.561168,1.735804
DSC09952.JPG,,,,,,,,,0.028534,-0.561170,1.735802
DSC09953.JPG,,,,,,,,,0.028532,-0.561168,1.735804
DSC09954.JPG,,,,,,,,,0.029175,-0.563064,1.734598
DSC09955.JPG,,,,,,,,,0.031889,-0.561220,1.735808
DSC09956.JPG,,,,,,,,,0.030995,-0.559807,1.736465
DSC09957.JPG,,,,,,,,,0.029048,-0.560849,1.735917
DSC09958.JPG,,,,,,,,,0.029067,-0.561235,1.735785
DSC09959.JPG,,,,,,,,,0.029417,-0.562482,1.735465
DSC09960.JPG,,,,,,,,,0.031403,-0.561206,1.735957
DSC09961.JPG,,,,,,,,,0.031215,-0.560712,1.736116
DSC09962.JPG,,,,,,,,,0.030948,-0.559688,1.736320
DSC09963.JPG,,,,,,,,,0.029722,-0.559807,1.736418
DSC09964.JPG,,,,,,,,,0.029047,-0.560848,1.735915
DSC09965.JPG,,,,,,,,,0.029201,-0.561195,1.735855
DSC09966.JPG,,,,,,,,,0.029069,-0.561235,1.735787
DSC09967.JPG,,,,,,,,,0.029703,-0.562290,1.735439
DSC09968.JPG,,,,,,,,,0.030350,-0.562463,1.735490
DSC09969.JPG,,,,,,,,,0.030068,-0.562479,1.735465
DSC09970.JPG,,,,,,,,,0.031081,-0.561237,1.735925
DSC09971.JPG,,,,,,,,,0.031456,-0.561213,1.735777
DSC09972.JPG,,,,,,,,,0.031334,-0.561160,1.735958
DSC09973.JPG,,,,,,,,,0.031292,-0.560613,1.735991
DSC09974.JPG,,,,,,,,,0.030453,-0.560732,1.735704
DSC09975.JPG,,,,,,,,,0.030350,-0.559826,1.736476
DSC09976.JPG,,,,,,,,,0.073774,-0.567138,1.803053
DSC09977.JPG,,,,,,,,,0.073431,-0.567351,1.802560
DSC09978.JPG,,,,,,,,,0.074520,-0.567238,1.802990
DSC09979.JPG,,,,,,,,,0.074754,-0.568083,1.802617
DSC09980.JPG,,,,,,,,,0.074347,-0.567536,1.802477
DSC09981.JPG,,,,,,,,,0.075596,-0.567313,1.802252
DSC09982.JPG,,,,,,,,,0.075846,-0.566592,1.802199
DSC09983.JPG,,,,,,,,,0.075853,-0.566540,1.802371
DSC09984.JPG,,,,,,,,,0.077046,-0.566801,1.802414
DSC09985.JPG,,,,,,,,,0.075433,-0.566191,1.802939
DSC09986.JPG,,,,,,,,,0.074836,-0.566027,1.802750
DSC09987.JPG,,,,,,,,,0.074166,-0.566024,1.802970
DSC09988.JPG,,,,,,,,,0.073538,-0.566611,1.802757
DSC09989.JPG,,,,,,,,,0.073419,-0.566625,1.802643
DSC09990.JPG,,,,,,,,,0.073434,-0.566874,1.802590
DSC09991.JPG,,,,,,,,,0.075759,-0.566958,1.802593
DSC09992.JPG,,,,,,,,,0.074509,-0.567219,1.803016
DSC09993.JPG,,,,,,,,,0.073242,-0.567381,1.803244
DSC09994.JPG,,,,,,,,,0.077399,-0.568136,1.808512
DSC09995.JPG,,,,,,,,,0.077411,-0.568135,1.808510
DSC09996.JPG,,,,,,,,,0.077413,-0.568134,1.808508
DSC09997.JPG,,,,,,,,,0.077743,-0.568302,1.808402
DSC09998.JPG,,,,,,,,,0.078224,-0.568274,1.808380
DSC09999.JPG,,,,,,,,,0.077948,-0.568138,1.808141
