# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,Accuracy_X/Y/Z_(m),Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
target 1,,,,,,,,,-0.299685,-0.202540,0.007221
target 2,,,,,,,,,-0.301062,-0.002398,0.003269
target 3,,,,,,,,,-0.302149,0.197680,0.001837
target 4,-0.100000,-0.200000,0.000000,0.005000,0.000315,-0.000315,-0.000012,0.000000,-0.100315,-0.200012,0.000000
target 5,-0.100000,0.000000,0.000000,0.005000,0.000462,-0.000047,-0.000342,-0.000308,-0.100047,-0.000342,-0.000308
target 6,,,,,,,,,-0.101931,0.200249,-0.001283
target 7,,,,,,,,,0.101203,-0.200796,0.004732
target 8,0.100000,0.000000,0.000000,0.005000,0.000576,-0.000401,0.000276,-0.000308,0.099599,0.000276,-0.000308
target 9,,,,,,,,,0.098165,0.201146,-0.003370
target 11,,,,,,,,,0.301272,-0.199404,0.005224
target 12,,,,,,,,,0.299502,0.000595,0.000495
target 13,,,,,,,,,0.298630,0.201027,-0.002374
target 14,,,,,,,,,0.206080,-0.402691,0.007564
target 15,,,,,,,,,0.400877,0.403786,-0.009014
target 16,,,,,,,,,-0.541487,-0.155677,0.014150
target 17,,,,,,,,,-0.396495,-0.405425,0.009283
target 18,,,,,,,,,-0.552590,0.338043,0.011497
target 19,,,,,,,,,0.198894,0.405467,-0.009094
target 20,,,,,,,,,-0.201293,-0.404298,0.007754
target 21,,,,,,,,,0.551045,0.353157,-0.007732
target 22,,,,,,,,,0.549097,-0.150504,0.001093
target 23,,,,,,,,,-0.540500,-0.347101,0.009744
target 24,,,,,,,,,0.545640,-0.338315,0.006960
target 25,,,,,,,,,-0.204819,0.401350,-0.003508
target 26,,,,,,,,,-0.554686,0.142747,0.013492
target 27,,,,,,,,,-0.399410,0.392096,0.003565
target 28,,,,,,,,,0.547622,0.157183,-0.006425
target 29,,,,,,,,,-0.097810,-0.508407,0.010139
target 30,,,,,,,,,0.401654,-0.399147,0.008513
target 34,,,,,,,,,0.005029,-0.608155,0.014368
target 35,,,,,,,,,-0.202973,-0.613878,0.012745
target 36,,,,,,,,,0.107731,-0.504842,0.009820
target 40,,,,,,,,,-0.407926,-0.604258,0.009904
target 41,,,,,,,,,0.405904,-0.604589,0.016069
target 42,,,,,,,,,0.498733,-0.496744,0.013007
target 47,,,,,,,,,0.211413,-0.607341,0.015026
target 48,,,,,,,,,-0.495749,-0.499857,0.007123
target 49,,,,,,,,,-0.200941,-0.000962,-0.000545
target 50,,,,,,,,,-0.301548,0.097384,0.003068
target 51,0.000000,0.000000,0.000000,0.005000,0.000984,0.000764,0.000077,0.000615,0.000764,0.000077,0.000615
target 52,,,,,,,,,-0.099589,-0.100810,0.001332
target 53,,,,,,,,,-0.002000,0.201597,-0.002501
target 54,,,,,,,,,0.201928,-0.200179,0.004748
target 55,,,,,,,,,0.300097,0.100017,-0.002361
target 56,,,,,,,,,-0.300487,-0.102588,0.004166
target 57,,,,,,,,,0.098374,0.100530,-0.001334
target 58,,,,,,,,,-0.200123,-0.201301,0.003202
target 59,,,,,,,,,-0.000302,-0.200098,0.004392
target 60,,,,,,,,,-0.100913,0.100214,-0.001177
target 61,,,,,,,,,0.301904,-0.099171,0.003481
target 62,,,,,,,,,-0.002364,0.406608,-0.006973
target 63,,,,,,,,,0.199501,0.202178,-0.001898
target 64,,,,,,,,,0.101746,-0.099503,0.002212
target 65,,,,,,,,,0.200189,0.000285,-0.000423
target 66,,,,,,,,,-0.202327,0.200142,0.000025
target 67,,,,,,,,,0.497838,0.000362,-0.003580
target 68,,,,,,,,,-0.099801,-0.300863,0.003710
target 69,,,,,,,,,0.451404,-0.248647,0.003493
target 70,,,,,,,,,-0.299569,-0.304620,0.006725
target 71,,,,,,,,,-0.401283,0.095914,0.005560
target 72,,,,,,,,,0.302698,0.304149,-0.007219
target 73,,,,,,,,,0.006172,-0.401119,0.006833
target 74,,,,,,,,,0.102682,-0.301947,0.005949
target 75,,,,,,,,,0.451129,0.253320,-0.008611
target 76,,,,,,,,,0.398427,0.102010,-0.005128
target 77,,,,,,,,,-0.400480,-0.103155,0.007623
target 78,,,,,,,,,-0.103730,0.302599,-0.004161
target 79,,,,,,,,,-0.498170,-0.005529,0.013138
target 80,,,,,,,,,0.304384,-0.301272,0.004898
target 81,,,,,,,,,0.097582,0.303783,-0.006940
target 82,,,,,,,,,0.399015,-0.100815,0.000602
target 83,,,,,,,,,-0.447820,-0.253952,0.010194
target 84,,,,,,,,,-0.304441,0.299598,0.000784
target 145,,,,,,,,,0.200950,-0.100124,0.001891
target 151,,,,,,,,,-0.303840,-0.504220,0.009412
target 153,,,,,,,,,0.305283,-0.502110,0.012031
target 157,,,,,,,,,-0.202035,0.099491,-0.000581
target 158,,,,,,,,,0.000371,-0.099978,0.002134
target 159,,,,,,,,,-0.000975,0.100644,-0.000931
target 160,,,,,,,,,-0.201043,-0.100590,-0.000224
target 161,,,,,,,,,0.199728,0.102084,-0.002025
#Total error,,,,,0.000635,0.000460,0.000223,0.000377,,,
