# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,Accuracy_X/Y/Z_(m),Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
DSC09900.JPG,,,,,,,,,-0.113328,0.035510,1.429507
DSC09901.JPG,,,,,,,,,-0.160980,0.040858,1.430769
DSC09902.JPG,,,,,,,,,-0.298016,0.067652,1.418114
DSC09903.JPG,,,,,,,,,-0.348174,0.138305,1.400134
DSC09904.JPG,,,,,,,,,-0.355674,0.175430,1.428855
DSC09905.JPG,,,,,,,,,-0.279234,0.217434,1.445691
DSC09906.JPG,,,,,,,,,-0.160746,0.254239,1.465472
DSC09907.JPG,,,,,,,,,-0.036576,0.246226,1.496376
DSC09908.JPG,,,,,,,,,0.038120,0.218766,1.509904
DSC09909.JPG,,,,,,,,,0.090030,0.178273,1.508357
DSC09910.JPG,,,,,,,,,0.098601,0.123004,1.504826
DSC09911.JPG,,,,,,,,,0.080716,0.071565,1.497973
DSC09912.JPG,,,,,,,,,0.036503,0.055898,1.498526
DSC09913.JPG,,,,,,,,,-0.018239,0.049048,1.485843
DSC09914.JPG,,,,,,,,,-0.039182,0.052572,1.474098
DSC09915.JPG,,,,,,,,,-0.159008,0.042757,1.418385
DSC09916.JPG,,,,,,,,,-0.931210,0.071316,1.279519
DSC09917.JPG,,,,,,,,,-0.936889,0.093717,1.284602
DSC09918.JPG,,,,,,,,,-0.949436,0.121160,1.289914
DSC09919.JPG,,,,,,,,,-0.949777,0.148458,1.291425
DSC09920.JPG,,,,,,,,,-0.951312,0.172915,1.305436
DSC09921.JPG,,,,,,,,,-0.955294,0.191743,1.323990
DSC09922.JPG,,,,,,,,,-0.938241,-0.001702,1.290607
DSC09923.JPG,,,,,,,,,-0.914668,-0.033947,1.282326
DSC09924.JPG,,,,,,,,,-0.868190,-0.087215,1.295191
DSC09925.JPG,,,,,,,,,-0.818860,-0.140407,1.321662
DSC09926.JPG,,,,,,,,,-0.777768,-0.182111,1.320126
DSC09927.JPG,,,,,,,,,0.173007,0.083825,1.179331
DSC09928.JPG,,,,,,,,,0.212634,0.082778,1.177000
DSC09929.JPG,,,,,,,,,0.268384,0.080815,1.176545
DSC09930.JPG,,,,,,,,,0.306081,0.079577,1.186130
DSC09931.JPG,,,,,,,,,0.325344,0.080453,1.196929
DSC09932.JPG,,,,,,,,,0.343767,0.081274,1.203065
DSC09933.JPG,,,,,,,,,0.362470,0.081709,1.207602
DSC09934.JPG,,,,,,,,,0.382052,0.081039,1.207877
DSC09935.JPG,,,,,,,,,0.354678,0.300837,1.250708
DSC09936.JPG,,,,,,,,,0.340156,0.273607,1.258579
DSC09937.JPG,,,,,,,,,0.238740,0.273471,1.264134
DSC09938.JPG,,,,,,,,,0.054186,0.276521,1.311031
DSC09939.JPG,,,,,,,,,-0.031148,0.280416,1.323702
DSC09940.JPG,,,,,,,,,0.560792,-0.007975,1.245559
DSC09941.JPG,,,,,,,,,0.568986,-0.039696,1.252102
DSC09942.JPG,,,,,,,,,0.586859,-0.103808,1.260887
DSC09943.JPG,,,,,,,,,0.615081,-0.162968,1.287459
DSC09944.JPG,,,,,,,,,0.635671,-0.190713,1.304747
DSC09945.JPG,,,,,,,,,0.629589,-0.202097,1.325676
DSC09946.JPG,,,,,,,,,0.090629,0.300772,1.402077
DSC09947.JPG,,,,,,,,,0.091444,0.265550,1.408437
DSC09948.JPG,,,,,,,,,0.052716,-0.423497,1.333091
DSC09949.JPG,,,,,,,,,0.044867,-0.459392,1.325167
DSC09950.JPG,,,,,,,,,0.048747,-0.485277,1.311111
