# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,Yaw,Pitch,Roll,Accuracy_X/Y/Z_(m),Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DSC09900.JPG,,,,,,,,,,,,,,,,-0.113328,0.035510,1.429507,358.495238,-5.124390,-0.353366
DSC09901.JPG,,,,,,,,,,,,,,,,-0.160980,0.040858,1.430769,358.528923,-5.261029,-0.478445
DSC09902.JPG,,,,,,,,,,,,,,,,-0.298016,0.067652,1.418114,357.327429,-4.760655,-2.106005
DSC09903.JPG,,,,,,,,,,,,,,,,-0.348174,0.138305,1.400134,358.663001,-3.599339,-5.056492
DSC09904.JPG,,,,,,,,,,,,,,,,-0.355674,0.175430,1.428855,359.845453,-6.658536,-6.552564
DSC09905.JPG,,,,,,,,,,,,,,,,-0.279234,0.217434,1.445691,3.662547,-8.126077,-6.374024
DSC09906.JPG,,,,,,,,,,,,,,,,-0.160746,0.254239,1.465472,4.705106,-7.060464,-4.466167
DSC09907.JPG,,,,,,,,,,,,,,,,-0.036576,0.246226,1.496376,5.934536,-6.756548,-1.796491
DSC09908.JPG,,,,,,,,,,,,,,,,0.038120,0.218766,1.509904,5.491887,-6.320098,-0.897510
DSC09909.JPG,,,,,,,,,,,,,,,,0.090030,0.178273,1.508357,4.993494,-6.296329,-0.217084
DSC09910.JPG,,,,,,,,,,,,,,,,0.098601,0.123004,1.504826,2.702159,-6.024428,-0.771361
DSC09911.JPG,,,,,,,,,,,,,,,,0.080716,0.071565,1.497973,359.669385,-7.856181,-1.351503
DSC09912.JPG,,,,,,,,,,,,,,,,0.036503,0.055898,1.498526,358.329221,-7.438030,-2.790061
DSC09913.JPG,,,,,,,,,,,,,,,,-0.018239,0.049048,1.485843,359.457257,-6.724387,-0.378769
DSC09914.JPG,,,,,,,,,,,,,,,,-0.039182,0.052572,1.474098,358.107601,-7.817544,0.455053
DSC09915.JPG,,,,,,,,,,,,,,,,-0.159008,0.042757,1.418385,358.932647,-9.365057,-0.351845
DSC09916.JPG,,,,,,,,,,,,,,,,-0.931210,0.071316,1.279519,3.082510,-3.087563,-29.518417
DSC09917.JPG,,,,,,,,,,,,,,,,-0.936889,0.093717,1.284602,3.059226,-2.963658,-29.630511
DSC09918.JPG,,,,,,,,,,,,,,,,-0.949436,0.121160,1.289914,4.150322,-3.902412,-30.104029
DSC09919.JPG,,,,,,,,,,,,,,,,-0.949777,0.148458,1.291425,5.329218,-4.271136,-30.086259
DSC09920.JPG,,,,,,,,,,,,,,,,-0.951312,0.172915,1.305436,6.082020,-4.887418,-30.415647
DSC09921.JPG,,,,,,,,,,,,,,,,-0.955294,0.191743,1.323990,7.017416,-5.376733,-29.526712
DSC09922.JPG,,,,,,,,,,,,,,,,-0.938241,-0.001702,1.290607,3.716305,-4.079929,-30.347885
DSC09923.JPG,,,,,,,,,,,,,,,,-0.914668,-0.033947,1.282326,2.302451,-1.919820,-29.660099
DSC09924.JPG,,,,,,,,,,,,,,,,-0.868190,-0.087215,1.295191,1.013861,1.146956,-27.742591
DSC09925.JPG,,,,,,,,,,,,,,,,-0.818860,-0.140407,1.321662,359.343953,2.501956,-26.522128
DSC09926.JPG,,,,,,,,,,,,,,,,-0.777768,-0.182111,1.320126,359.102372,2.957760,-23.568281
DSC09927.JPG,,,,,,,,,,,,,,,,0.173007,0.083825,1.179331,358.504401,-7.405457,5.916342
DSC09928.JPG,,,,,,,,,,,,,,,,0.212634,0.082778,1.177000,359.247008,-7.239290,6.412172
DSC09929.JPG,,,,,,,,,,,,,,,,0.268384,0.080815,1.176545,359.166964,-7.403355,8.632702
DSC09930.JPG,,,,,,,,,,,,,,,,0.306081,0.079577,1.186130,359.545837,-7.730555,10.481739
DSC09931.JPG,,,,,,,,,,,,,,,,0.325344,0.080453,1.196929,359.625763,-6.983501,12.267491
DSC09932.JPG,,,,,,,,,,,,,,,,0.343767,0.081274,1.203065,359.755820,-6.301383,13.405805
DSC09933.JPG,,,,,,,,,,,,,,,,0.362470,0.081709,1.207602,359.197531,-6.627739,13.829711
DSC09934.JPG,,,,,,,,,,,,,,,,0.382052,0.081039,1.207877,359.643533,-6.955520,15.383829
DSC09935.JPG,,,,,,,,,,,,,,,,0.354678,0.300837,1.250708,355.976553,-6.413608,12.818098
DSC09936.JPG,,,,,,,,,,,,,,,,0.340156,0.273607,1.258579,356.009189,-4.692329,14.374731
DSC09937.JPG,,,,,,,,,,,,,,,,0.238740,0.273471,1.264134,356.729175,-3.167332,10.647930
DSC09938.JPG,,,,,,,,,,,,,,,,0.054186,0.276521,1.311031,356.868320,-3.142111,4.579750
DSC09939.JPG,,,,,,,,,,,,,,,,-0.031148,0.280416,1.323702,356.508327,-3.664001,-0.379361
DSC09940.JPG,,,,,,,,,,,,,,,,0.560792,-0.007975,1.245559,354.333290,-1.023781,18.266432
DSC09941.JPG,,,,,,,,,,,,,,,,0.568986,-0.039696,1.252102,354.309987,0.145483,19.595043
