# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label,X,Y,Z,Accuracy_X/Y/Z_(m),Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
target 1,,,,,,,,,-0.298915,-0.202504,-0.000314
target 2,,,,,,,,,-0.299956,-0.002468,-0.001386
target 3,,,,,,,,,-0.300856,0.197786,-0.000891
target 4,,,,,,,,,-0.099592,-0.200907,-0.000370
target 5,,,,,,,,,-0.099327,-0.001062,-0.000614
target 6,,,,,,,,,-0.100928,0.199437,0.000195
target 7,,,,,,,,,0.101101,-0.200590,0.000464
target 8,0.100000,0.000000,0.000000,0.005000,0.000278,-0.000275,0.000041,-0.000000,0.099725,0.000041,-0.000000
target 9,,,,,,,,,0.098598,0.200045,0.000782
target 11,,,,,,,,,0.301283,-0.199045,0.001559
target 12,,,,,,,,,0.299532,0.000756,0.000965
target 13,,,,,,,,,0.298961,0.200824,0.001470
target 14,,,,,,,,,0.206003,-0.402379,-0.001279
target 15,,,,,,,,,0.401481,0.403450,-0.000901
target 16,,,,,,,,,-0.542228,-0.153208,-0.003855
target 17,,,,,,,,,-0.395622,-0.404645,-0.003497
target 18,,,,,,,,,-0.553678,0.344038,-0.003333
target 19,,,,,,,,,0.199587,0.404051,-0.000881
target 20,,,,,,,,,-0.201087,-0.403893,-0.002838
target 21,,,,,,,,,0.551937,0.353771,-0.000976
target 22,,,,,,,,,0.549854,-0.149950,-0.000699
target 23,,,,,,,,,-0.538875,-0.346141,-0.003668
target 24,,,,,,,,,0.547039,-0.337571,-0.001085
target 25,,,,,,,,,-0.203221,0.401232,-0.001915
target 26,,,,,,,,,-0.555889,0.147291,-0.002991
target 27,,,,,,,,,-0.398580,0.395070,-0.002818
target 28,,,,,,,,,0.547834,0.157041,-0.000585
target 29,,,,,,,,,-0.098013,-0.508037,-0.002849
target 30,,,,,,,,,0.402462,-0.398751,-0.000956
target 34,,,,,,,,,0.004677,-0.607997,-0.002877
target 35,,,,,,,,,-0.203098,-0.613268,-0.003666
target 36,,,,,,,,,0.107565,-0.504618,-0.002378
target 40,,,,,,,,,-0.406537,-0.603052,-0.004508
target 41,,,,,,,,,0.407429,-0.604512,-0.002131
target 42,,,,,,,,,0.500627,-0.496243,-0.001534
target 47,,,,,,,,,0.211805,-0.607382,-0.002609
target 48,,,,,,,,,-0.493115,-0.498904,-0.003934
target 49,,,,,,,,,-0.199672,-0.001948,-0.001026
target 50,,,,,,,,,-0.300390,0.097362,-0.000709
target 51,0.000000,0.000000,0.000000,0.005000,0.001080,0.001052,-0.000235,0.000060,0.001052,-0.000235,0.000060
target 52,,,,,,,,,-0.099043,-0.101317,-0.000429
target 53,,,,,,,,,-0.001248,0.200482,0.000653
target 54,,,,,,,,,0.201862,-0.199851,0.000636
target 55,,,,,,,,,0.300071,0.099612,0.001050
target 56,,,,,,,,,-0.299468,-0.102724,-0.001402
target 57,,,,,,,,,0.098666,0.099997,0.000597
target 58,,,,,,,,,-0.199208,-0.201842,-0.000258
target 59,0.000000,-0.200000,0.000000,0.005000,0.000274,-0.000273,-0.000021,-0.000020,-0.000273,-0.200021,-0.000020
target 60,,,,,,,,,-0.099999,0.099244,-0.000068
target 61,,,,,,,,,0.302025,-0.098720,0.001224
target 62,,,,,,,,,-0.001204,0.405409,-0.001139
target 63,,,,,,,,,0.199659,0.201121,0.003070
target 64,,,,,,,,,0.101754,-0.099592,0.000510
target 65,,,,,,,,,0.200164,0.000055,0.000591
target 66,,,,,,,,,-0.201122,0.199655,-0.000305
target 67,,,,,,,,,0.497815,0.000183,-0.000212
target 68,,,,,,,,,-0.099549,-0.300841,-0.002068
target 69,,,,,,,,,0.451870,-0.248234,-0.000623
target 70,,,,,,,,,-0.298943,-0.304273,-0.002935
target 71,,,,,,,,,-0.400573,0.097183,-0.002628
target 72,,,,,,,,,0.303008,0.303204,0.000236
target 73,,,,,,,,,0.006013,-0.400892,-0.001797
target 74,,,,,,,,,0.102526,-0.301517,-0.001262
target 75,,,,,,,,,0.451187,0.252415,-0.000711
target 76,,,,,,,,,0.398176,0.101257,0.000168
target 77,,,,,,,,,-0.399945,-0.102296,-0.002517
target 78,,,,,,,,,-0.102476,0.301473,-0.000850
target 79,,,,,,,,,-0.499099,-0.002404,-0.003181
target 80,,,,,,,,,0.304412,-0.300917,-0.000744
target 81,,,,,,,,,0.098261,0.302141,-0.000654
target 82,,,,,,,,,0.399106,-0.100606,0.000052
target 83,,,,,,,,,-0.447432,-0.252822,-0.003507
target 84,,,,,,,,,-0.303179,0.300481,-0.002061
target 145,,,,,,,,,0.200840,-0.100018,0.000645
target 151,,,,,,,,,-0.303249,-0.503449,-0.003448
target 153,,,,,,,,,0.305901,-0.501799,-0.001465
target 157,,,,,,,,,-0.200756,0.098545,-0.000624
target 158,,,,,,,,,0.000509,-0.100026,-0.000248
target 159,0.000000,0.100000,0.000000,0.005000,0.000550,-0.000505,0.000216,-0.000040,-0.000505,0.100216,-0.000040
target 160,,,,,,,,,-0.199762,-0.101629,-0.001009
target 161,,,,,,,,,0.199831,0.101671,0.000596
#Total error,,,,,0.000637,0.000615,0.000161,0.000037,,,
